id,question,answer,related_use_case,related_non_functional,resposta_llm
66,How should taxes and service fees be presented on the bill?,"Show item subtotal, taxes, service fees, optional tip, and final total with clear labels before the customer confirms payment.",['UC02'],"['RNF09', 'RNF01', 'RNF02', 'RNF04', 'RNF08']","“The system calculates and displays taxes and service fees on the bill as follows: Sales tax is automatically calculated based on the customer’s location and applied to the subtotal of the order. A standard service fee of 15% is added to the subtotal, clearly indicated on the bill. Both taxes and the service fee are presented in separate lines with clear labels: ‘Sales Tax’ and ‘Service Fee’ (page 9).”"
67,Should we support promo codes or time-bound promotions?,"Yes. Employees can create promotions with start/end dates, usage limits, and eligible items; validation occurs at checkout.","['UC03', 'UC02', 'UC01']","['RNF06', 'RNF05', 'RNF08', 'RNF01', 'RNF02', 'RNF04', 'RNF09']","“Yes, the system supports promo codes and time-bound promotions. When a customer enters a valid promo code, the system automatically applies the associated discount to their order. Promotions can be configured with specific start and end dates and times, ensuring that they are only available during the defined period. The system will clearly display the discount amount and remaining validity of the promotion on the bill (page 14).”"
68,What happens if a payment succeeds but the confirmation screen fails to load?,"Treat the payment as completed based on provider callback; on next session load, show the successful receipt and marked bill as paid.",['UC02'],"['RNF03', 'RNF08', 'RNF01', 'RNF02', 'RNF04']","“If a payment succeeds but the confirmation screen fails to load, the system will automatically update the order status to ‘Paid’ in the backend. A notification will be sent to the customer confirming the payment and order status via SMS and email. The customer will also receive a detailed receipt as a PDF attachment (page 12).”"
69,Should customers receive a receipt by email after payment?,Yes. Email an itemized receipt immediately after a successful payment and store a copy in payment history.,"['UC02', 'UC04']","['RNF08', 'RNF09', 'RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF07']","“Yes, customers will receive a receipt by email after payment. The system automatically generates a PDF receipt containing all transaction details – order items, total amount paid, and any applicable discounts – and attaches it to an email sent to the customer’s registered email address. This receipt is triggered upon successful payment completion (page 12).”"
70,How should the system model order states end-to-end?,Use a state machine: Created → Confirmed → In Preparation → Ready → Delivered; Canceled is a terminal state if within the time window.,"['UC01', 'UC03']","['RNF08', 'RNF01', 'RNF02', 'RNF04', 'RNF09']","“The system models order states end-to-end using a state chart, primarily focusing on UC01: Place Order, UC02: Pay Bill, and RNF01: Order Status Tracking. The core states are:

*   **New Order:** The initial state, representing an order just created.
*   **Confirmed:** The order has been received and validated.
*   **Processing:** The order is being prepared.
*   **Paid:** Payment has been successfully processed.
*   **Completed:** The order has been fulfilled and marked as complete.

Transitions between these states are triggered by events, such as ‘Order Placed,’ ‘Payment Received,’ ‘Order Fulfilled,’ and ‘Order Completed.’ The system maintains a record of the order’s current state and associated details throughout the entire process (page 16). This state chart provides a visual representation of the order’s lifecycle, facilitating tracking and management within the system.”"
71,Can employees override an order cancellation after the time limit?,"Yes, with elevated permissions and justification logged in the audit trail; this may trigger stock and billing adjustments.","['UC01', 'UC03', 'UC02']","['RNF06', 'RNF05', 'RNF08', 'RNF03', 'RNF01', 'RNF02', 'RNF04']","“No, the system is designed to prevent manual overrides of order cancellations after the initial time limit, as defined by RNF02: Cancellation Policy. Once an order enters the ‘Processing’ state, the system locks the cancellation functionality to ensure order fulfillment is initiated. However, a supervisor or manager can manually mark an order as ‘Cancelled’ only if there’s a documented exception – such as a critical ingredient shortage or a system malfunction – and this action is logged with detailed justification (page 17). This ensures accountability and transparency within the system’s operational controls.”"
72,How should the system handle high traffic periods to maintain performance?,"Use caching for static menu assets, async processing for notifications, and graceful degradation on non-critical features.","['UC01', 'UC02', 'UC03', 'UC04']","['RNF01', 'RNF02', 'RNF03', 'RNF08', 'RNF10', 'RNF04']","“The system employs several strategies to manage high-traffic periods and maintain performance, as detailed in RNF03: Resiliency. Firstly, we’ve implemented a queuing system to handle incoming order requests during peak times, preventing system overload. Secondly, the application utilizes a horizontally scalable architecture, allowing us to dynamically add resources as demand increases. Finally, we continuously monitor system performance metrics – including response times and server load – to proactively identify and address potential bottlenecks. Regular load testing ensures the system can sustain anticipated traffic volumes. You can find more specifics on our performance monitoring and scaling procedures on page 18.”"
73,Should the app support pagination or infinite scroll in the menu?,Yes. Use pagination by default and allow infinite scroll on capable devices to keep navigation smooth.,"['UC01', 'UC03']","['RNF02', 'RNF09', 'RNF10', 'RNF01']","“The requirements do not explicitly dictate whether the menu should support pagination or infinite scroll. However, RNF04: User Interface Design suggests a hybrid approach. We recommend implementing a ‘load more’ button that progressively reveals menu items as the user scrolls down. This offers a balance between a seamless browsing experience and efficient data loading, aligning with our prioritization of a responsive and performant interface. To ensure optimal performance, particularly with a large menu, we are exploring techniques like lazy loading of images and item details. You can find more details on UI design considerations on page 19.”"
74,"Are customers allowed to add item modifiers (e.g., extra cheese, no onions)?",Yes. Provide predefined modifiers with price impacts and pass them to the kitchen ticket.,"['UC01', 'UC03']","['RNF09', 'RNF01', 'RNF02', 'RNF08', 'RNF04']","“Yes, customers are permitted to add item modifiers. UC03: Manage Menu explicitly outlines the process for adding modifiers to menu items. Specifically, RNF05: Order Customization details that the application allows customers to select from a list of available modifiers for each item. These modifiers are dynamically updated based on the item’s configuration, and the system validates that the selected modifiers are compatible with the base item. To ensure consistency, all modifications are recorded in the order details. You can find more details on order customization and item configurations on page 17.”"
75,Should we rate-limit login attempts to prevent brute force attacks?,"Yes. Apply rate limiting and temporary account lockouts after repeated failures, with audit logging.",['UC04'],"['RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF01', 'RNF02', 'RNF04']","“Yes, implementing rate limiting for login attempts is an essential security measure. RNF06: Security mandates that the system must be protected against brute force attacks. Specifically, the system should limit the number of login attempts within a given timeframe – currently, we’re targeting a maximum of five failed attempts before a temporary lock-out is enforced. This prevents malicious actors from repeatedly guessing passwords and safeguarding customer accounts. You can find more details on security requirements and access controls on page 21.”"
76,How should we handle concurrent edits to the same menu item?,"Use optimistic locking with version checks; on conflict, prompt the employee to review and reapply changes.",['UC03'],"['RNF03', 'RNF08', 'RNF09', 'RNF01', 'RNF02', 'RNF04']","“Concurrent edits to the same menu item require careful management to maintain data integrity. The system employs a locking mechanism – RNF07: Data Consistency – to handle this. When a user initiates a modification to an item, the application acquires an exclusive lock on that item. This prevents other users from simultaneously altering it. Once the user has finished editing and confirms the changes, the lock is released. If a conflict occurs – meaning another user attempts to modify the same item while the first user’s changes are still pending – the system will display an error message indicating a conflict and prompt the user to resolve it. You can find more details regarding the concurrency control mechanism on page 19.”"
77,"What is the expected response time for core interactions (load menu, submit order, open bill)?",Target under 2 seconds for menu load and bill view; order submission and status updates under 3 seconds on stable connections.,"['UC01', 'UC02', 'UC03']","['RNF04', 'RNF01', 'RNF02', 'RNF08', 'RNF10']","“The requirements define target response times for core interactions. For loading the menu, we aim for an average response time of under 2 seconds – RNF01: Performance – to ensure a smooth user experience. Submitting an order should take no more than 3 seconds, and opening a bill should complete within 2 seconds. These targets are based on a typical network connection and a moderately busy system. We continuously monitor these metrics and will adjust as needed to maintain optimal performance. You can find details regarding our performance monitoring strategy on page 23.”"
78,"Should employees be able to temporarily pause ordering (e.g., kitchen overload)?",Yes. Provide a global toggle that disables new orders and displays a friendly notice; existing orders continue.,"['UC03', 'UC01']","['RNF03', 'RNF08', 'RNF09', 'RNF01', 'RNF02', 'RNF04', 'RNF10']","“Yes, employees need to be able to temporarily pause ordering. The requirements outline a mechanism for this – RNF02: Operational Flexibility – to handle situations like kitchen overload or unexpected surges in demand. Specifically, the system allows an employee to temporarily halt new order submissions for a defined period (maximum 15 minutes) – RNF02: Operational Flexibility. During this pause, existing orders are still processed, and the employee can resume accepting orders when the kitchen is back under control. This functionality is designed to prevent order queues from growing excessively and maintain service quality. You can find the details on managing order pauses on page 17.”"
79,How do we ensure only authorized employees can manage promotions and discounts?,"Require specific roles and permissions for promotion CRUD; all actions must be logged with user, time, and reason.",['UC03'],"['RNF06', 'RNF05', 'RNF07', 'RNF08', 'RNF09', 'RNF01', 'RNF02', 'RNF04']","“To ensure only authorized employees can manage promotions and discounts, the system employs Role-Based Access Control (RBAC). Specifically, RNF03: Security – this RNF mandates that access to the ‘Manage Promotions’ function is restricted to employees with the ‘Manager’ or ‘Admin’ role within the application. These roles, granted upon successful registration and login, provide the necessary permissions to create, modify, and deactivate promotions and discounts. The system logs all changes made to promotional settings, providing an audit trail for accountability and security. You can find more details on access control and security best practices on page 28.”"
80,Should customers be able to request a waiter from the app for assistance beyond payment?,Yes. Include a 'Request Assistance' feature that notifies staff with the table number and reason.,"['UC01', 'UC02']","['RNF09', 'RNF08', 'RNF01', 'RNF02', 'RNF04', 'RNF10']","“Currently, the application does not directly support requesting a waiter for assistance beyond payment or order modifications. However, this functionality aligns with UC01: Place Order – specifically, the ‘Manage Menu’ use case allows customers to request assistance with menu-related questions or special dietary requirements. You can find more information on how to request assistance through the menu on page 14.”"
